blueTeamControlWardsPlaced,blueTeamWardsPlaced,blueTeamTurretPlatesDestroyed,blueTeamFirstBlood,blueTeamMinionsKilled,blueTeamJungleMinions,redTeamControlWardsPlaced,redTeamWardsPlaced,redTeamTurretPlatesDestroyed,redTeamMinionsKilled,redTeamJungleMinions,blueWin,GoldDifference,XpDifference,DamageDifference,KillDifference,DragonKillDifference,HeraldKillDifference,TowerDifference,InhibitorDifference
1,23,3,1,393,118,0,42,5,327,93,1,6118,4734,9301,7,2,1,-1,0
3,26,8,0,375,93,8,26,4,419,110,0,-7502,-6861,-12549,-12,0,0,-1,0
7,35,6,1,384,116,2,29,13,386,80,1,5086,4460,5027,11,2,0,1,0
2,140,12,0,318,110,9,35,4,401,82,0,-9121,-6528,-11812,-15,0,0,-3,0
5,27,4,0,302,75,5,34,5,361,78,1,1536,390,6590,9,1,0,0,0
4,26,7,0,339,95,6,34,6,346,98,0,-3248,-1927,1904,-11,-2,0,-1,0
3,25,0,1,390,123,1,31,7,361,80,1,1238,1163,3975,0,-2,0,1,0
3,200,5,0,338,72,4,29,7,314,80,1,4220,440,3647,6,0,-1,2,0
4,169,10,0,347,76,6,29,2,448,118,0,-9864,-5916,-17374,-10,-2,0,-3,0
3,32,8,0,413,112,4,37,8,395,99,1,-428,795,-5836,0,0,0,-1,0
4,27,8,0,361,113,0,27,6,394,78,1,-2231,-2242,-5698,-5,-2,0,0,0
2,28,5,0,395,107,7,30,7,385,84,1,4648,3234,1108,1,1,0,-1,0
4,30,9,0,372,103,4,32,12,364,80,0,2857,1194,5046,3,0,1,1,0
4,31,8,0,297,125,7,32,6,341,70,1,966,2383,277,2,-2,1,-2,0
3,29,5,1,331,93,4,200,2,330,78,1,418,-305,2586,-1,-2,0,0,0
1,200,2,1,394,92,2,25,6,293,112,1,7155,3065,10124,7,-2,0,0,0
3,27,3,0,387,92,7,30,1,440,106,1,-4724,-4243,-10386,-8,0,0,0,0
6,35,7,1,347,84,3,31,6,326,87,0,1654,-792,7087,0,-2,-1,1,0
3,39,10,0,320,96,4,29,11,363,88,0,-4651,-6041,-13462,-13,-2,0,0,0
