blueTeamTotalGold,redTeamTotalGold,blueWin
28521,23490,0
24664,28656,0
25148,27638,1
25657,31189,0
27857,24771,1
28361,25848,1
29141,27537,0
27120,26679,0
28604,27075,0
26793,27001,0
28853,26046,1
27128,27939,0
25749,28571,0
26948,28127,0
27163,27653,1
26045,32080,0
28818,25080,0
28859,25175,1
28961,31152,0
25015,31676,0
24843,26878,0
25269,24393,1
25141,26505,0
28026,28364,1
30475,23198,1
27923,25548,0
28532,30996,1
28576,28648,0
25108,33885,0
26745,27321,0
29277,27151,1
29243,25981,1
30137,33503,0
29777,28922,1
29309,27722,0
30294,24722,1
27363,28365,0
29972,28237,1
26746,26795,1
29909,26323,1
30223,27877,0
26908,27272,0
30982,25976,1
33654,26707,1
27427,26171,0
30798,28312,0
29050,29028,0
23835,32758,0
26466,27933,0
27523,23222,0
29372,27313,1
29759,24896,1
28798,23023,1
28795,25720,0
30497,26175,1
27883,29134,0
29377,26458,0
33704,27417,1
23823,28854,0
28612,32220,1
24289,26165,0
36296,23879,1
33557,23393,1
27747,26301,1
31350,30613,1
28218,30704,1
26032,31240,0
30120,25400,0
27557,31800,0
32218,25828,1
24956,29942,0
31366,22704,1
25045,25253,0
30124,26284,0
25634,34497,1
28521,27435,0
29280,29945,0
33981,27403,1
26383,28464,1
27744,23906,1
25613,34586,0
28950,27479,1
27253,27045,1
35713,25278,1
25151,25314,1
28386,23711,1
28693,27431,0
25467,24690,1
28210,28683,1
35156,23333,1
28223,24322,1
27711,28237,1
24833,28656,0
28201,26802,1
27412,23550,1
24864,29730,0
28030,27076,1
24276,28822,0
28312,28584,1
29935,29923,1
29740,25049,1
23935,30067,0
26910,27767,0
34415,24680,1
27886,30738,0
26911,31024,0
30875,25821,0
32215,27241,1
27661,31565,1
24073,30188,0
23832,25473,1
26913,27662,0
28725,28249,0
25876,23799,1
29536,30105,0
24392,29466,0
27463,29949,0
21439,33117,0
30313,26032,0
30703,25599,1
28319,30874,1
28745,26638,1
30104,25871,1
28818,25073,1
26331,36056,0
26689,29202,0
30019,24060,1
28171,29240,1
27797,23025,1
